restaurant_name,rating,num_ratings,avg_cost,online_order,table_booking,cuisines,area
A1 Spice Inn,3.5,46,500.0,0,0,"['Biryani', 'Chinese', 'Hyderabadi', 'North Indian', 'South Indian']",Malleshwaram
A2B - Adyar Ananda Bhavan,2.5,544,400.0,1,0,"['South Indian', 'North Indian', 'Chinese', 'Street Food', 'Fast Food']",Whitefield
A2B Veg - Adyar Ananda Bhavan,2.7,97,400.0,1,0,"['South Indian', 'Fast Food', 'Street Food']",Basavanagudi
A3 Nuwang Kitchen,3.7,42,300.0,1,0,"['Chinese', 'North Indian']",Indiranagar
Aaccord Restaurant,2.8,40,600.0,0,0,"['Continental', 'North Indian', 'Chinese']","Byresandra,Tavarekere,Madiwala"
Aadhya Hotel,3.3,5,800.0,1,0,"['South Indian', 'North Indian', 'Chinese', 'Biryani']",Banashankari
Aadvik Nightfood,3.6,22,350.0,1,0,['Fast Food'],Frazer Town
Aagaman Veg,2.8,40,900.0,1,0,"['North Indian', 'Chinese', 'South Indian']",Electronic City
Aaha,3.6,93,300.0,1,0,"['North Indian', 'Chinese']",Marathahalli
Aaha Andhra,3.4,58,900.0,0,0,"['Andhra', 'Biryani', 'North Indian']",Marathahalli
Aahar Vihar,4.0,68,250.0,1,0,['North Indian'],Brookefield
Aahara Vihar,3.5,13,300.0,0,0,"['South Indian', 'North Indian', 'Chinese']",Malleshwaram
Aaharam,4.0,65,350.0,0,0,"['Chinese', 'North Indian']",HSR
Aalishan Restaurant & Caterer,3.5,888,650.0,1,0,"['North Indian', 'Mughlai']","Byresandra,Tavarekere,Madiwala"
Aami Bangali,3.0,66,700.0,1,0,['Bengali'],"Byresandra,Tavarekere,Madiwala"
Aami Kolkata,3.3,5,600.0,0,0,['Bengali'],Bannerghatta Road
Aao G Khao G,3.5,11,200.0,1,0,"['North Indian', 'Chinese']",HSR
Aapni Rasoi,3.2,127,400.0,1,0,['North Indian'],Bellandur
Aaranya Restaurant,3.4,212,800.0,1,0,"['North Indian', 'Chinese', 'Mughlai']","Byresandra,Tavarekere,Madiwala"
Aarti Paratha & Rolls Corner,3.6,15,200.0,1,0,"['North Indian', 'Fast Food']",New BEL Road
Aarya Pork Hotel,3.3,11,300.0,0,0,"['South Indian', 'Biryani', 'Chinese']","Byresandra,Tavarekere,Madiwala"
Aashirvaad Restaurant,3.1,249,300.0,1,0,"['North Indian', 'Oriya', 'Chinese']",Brookefield
Aashish Foods,2.7,35,150.0,1,0,['North Indian'],Brookefield
Aasife & Brothers Biriyani Centre,3.8,120,600.0,1,0,"['Biryani', 'North Indian', 'South Indian', 'Chinese']","Byresandra,Tavarekere,Madiwala"
Aastha Bengali Mess,3.9,131,250.0,1,0,"['Chinese', 'Bengali']",Malleshwaram
